13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header accept-language: ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header accept-encoding: gzip, deflate QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header content-type: application/x-www-form-urlencoded QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header content-length: 36 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header origin: http://localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header connection: keep-alive QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header referer: http://localhost:8096/sign-up QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: received header upgrade-insecure-requests: 1 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: headers completed QtWebApp\httpserver\httprequest.cpp 103
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: expect 36 bytes body QtWebApp\httpserver\httprequest.cpp 143
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: receive body QtWebApp\httpserver\httprequest.cpp 157
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: extract and decode request parameters QtWebApp\httpserver\httprequest.cpp 216
13.03.2021 20:48:42.726 0 DEBUG     HttpRequest: extract cookies QtWebApp\httpserver\httprequest.cpp 262
13.03.2021 20:48:42.726 0 DEBUG     HttpConnectionHandler (0x2a1547ee8d0): received request QtWebApp\httpserver\httpconnectionhandler.cpp 192
13.03.2021 20:48:42.730 0 DEBUG     Test does not exists src\Database.cpp 50
13.03.2021 20:48:42.901 1 WARNING   ??????:  ?????? ?????????? (????????? ?????????: "(")
LINE 1: EXECUTE  ('NULL', 'Test')
                 ^
(42601) QPSQL: Unable to create query src\Database.cpp 79
13.03.2021 20:48:42.920 3 FATAL     Error adding row to authorization table src\Database.cpp 80
13.03.2021 20:56:03.094 0 DEBUG     HttpConnectionHandler (0x1fa5da9f350): handle new connection QtWebApp\httpserver\httpconnectionhandler.cpp 82
13.03.2021 20:56:03.096 0 DEBUG     HttpConnectionHandler (0x1fa5da9f350): read input QtWebApp\httpserver\httpconnectionhandler.cpp 155
13.03.2021 20:56:03.096 0 DEBUG     HttpRequest: read request QtWebApp\httpserver\httprequest.cpp 27
13.03.2021 20:56:03.096 0 DEBUG     HttpRequest: from 127.0.0.1: GET /sign-up HTTP/1.1 QtWebApp\httpserver\httprequest.cpp 44
13.03.2021 20:56:03.096 0 DEBUG     HttpRequest: received header host: localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:56:03.096 0 DEBUG     HttpRequest: received header user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:56:03.097 0 DEBUG     HttpRequest: received header accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:56:03.097 0 DEBUG     HttpRequest: received header accept-language: ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:56:03.097 0 DEBUG     HttpRequest: received header accept-encoding: gzip, deflate QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:56:03.097 0 DEBUG     HttpRequest: received header connection: keep-alive QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 20:56:03.097 0 DEBUG     HttpRequest: received header upgrade-insecure-requests: 1 QtWebApp\httpserver\httprequest.cpp 85
